seed,noise_rate,lambda,p_over_n,D,train_mse,test_mse,train_acc,test_acc,solution_norm,regularized_condition_number,effective_degrees_of_freedom,min_singular_value,max_singular_value
42,0.1,0.0001,1.0,1000,0.0002545714916854327,1.104676464156329,100.0,26.979999999999997,159.94346592698568,1564993.4680817467,981.664528586901,0.00038801913477644047,12.519379793877471
42,0.1,0.01,1.0,1000,0.0027269182752481776,0.13172364539369766,99.9,62.660000000000004,49.99893891321566,15674.251052615082,845.9093806948242,0.00038801913477644047,12.519379793877471
42,0.1,0.1,1.0,1000,0.008602568659339754,0.05204177369597403,99.3,81.31,24.79054011562986,1568.3463429492733,620.8926013274082,0.00038801913477644047,12.519379793877471
42,0.1,0.0,1.02,1020,1.5570993896471407e-29,2.4137158679675053,100.0,20.580000000000002,239.57473202878413,5271730.484225656,999.9999997879115,0.005482661649244596,12.588328044832538
42,0.1,1e-06,1.02,1020,5.11082810213284e-08,2.370624192554761,100.0,20.7,237.41245415301876,5102001.066669331,999.7903856079961,0.005482661649244596,12.588328044832538
42,0.1,0.0001,1.02,1020,0.0001008606965285405,1.0971622638063705,100.0,25.929999999999996,160.48374653960437,1218411.627002248,987.8592419027725,0.005482661649244596,12.588328044832538
42,0.1,0.01,1.02,1020,0.0026153647933326264,0.12808283561179906,99.8,62.050000000000004,49.5416602535529,15800.105843828693,851.9790632732365,0.005482661649244596,12.588328044832538
42,0.1,0.1,1.02,1020,0.008328040777847875,0.051623615740348704,99.3,81.42,24.821637276912316,1585.183530151436,624.0601745917742,0.005482661649244596,12.588328044832538
42,0.1,0.0,1.05,1050,6.740884207627148e-30,0.8501269022625604,100.0,30.95,140.95994213177684,830372.8352968182,999.9999999237555,0.013931776475543728,12.695302854070624
42,0.1,1e-06,1.05,1050,3.0164138478483394e-09,0.8476331453381735,100.0,31.0,140.7454649526643,826116.5828213382,999.9238912106399,0.013931776475543728,12.695302854070624
42,0.1,0.0001,1.05,1050,1.85880859135508e-05,0.6760334573956748,100.0,33.92,125.1048774338249,548024.0932085831,993.4205350216002,0.013931776475543728,12.695302854070624
42,0.1,0.01,1.05,1050,0.0020035253994903925,0.1293164329071402,99.9,62.72,49.871778255808316,15811.185211659584,863.0650400487826,0.013931776475543728,12.695302854070624
42,0.1,0.1,1.05,1050,0.007866010968245601,0.05203386391055828,99.3,81.5,25.235819462616757,1609.583035099433,632.1055058055554,0.013931776475543728,12.695302854070624
42,0.1,0.0,1.1,1100,5.678764851156472e-30,0.42994875722052484,100.0,37.57,102.25206266747067,275730.577110043,999.999999960173,0.02417206530071579,12.69276455322312
42,0.1,1e-06,1.1,1100,3.9465789357918954e-10,0.42964150533671946,100.0,37.59,102.21344350694189,275259.47749354347,999.9601943931544,0.02417206530071579,12.69276455322312
42,0.1,0.0001,1.1,1100,3.410343787446821e-06,0.40241433645617913,100.0,38.71,98.7299145502196,235436.24551118247,996.2131782094964,0.02417206530071579,12.69276455322312
42,0.1,0.01,1.1,1100,0.0016383310024090875,0.12093135856567046,100.0,62.69,49.70975874691816,15222.210575278184,875.5132732914499,0.02417206530071579,12.69276455322312
42,0.1,0.1,1.1,1100,0.007460933334189369,0.050084359837173416,99.5,81.55,25.096925097233157,1602.6983341186922,640.7006452597893,0.02417206530071579,12.69276455322312
42,0.1,0.0,1.2,1200,6.106679542121211e-30,0.2500944856415635,100.0,49.51,79.53017972346224,107674.95828333507,999.9999999779794,0.03857613041814926,12.658318460171119
42,0.1,1e-06,1.2,1200,9.957532361344958e-11,0.2500231441198292,100.0,49.5,79.51765622685406,107602.65114426323,999.97798388204,0.03857613041814926,12.658318460171119
42,0.1,0.0001,1.2,1200,9.34691878357861e-07,0.24329313002016906,100.0,50.0,78.32681848447997,100894.98549872014,997.8406589132327,0.03857613041814926,12.658318460171119
42,0.1,0.01,1.2,1200,0.0011014832778499112,0.10673360645487692,100.0,67.47,48.06203201329857,13948.588315183506,895.2323955269255,0.03857613041814926,12.658318460171119
